Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
16,92,Telecommunications Engineering,Bachelors,"$66,400","$115,400",47%
17,93,Information & Decision Sciences,Bachelors,"$65,200","$115,200",33%
18,93,Materials Engineering,Bachelors,"$72,300","$115,200",58%
19,93,Paper Science,Bachelors,"$77,000","$115,200",39%
20,96,Asian Studies,Bachelors,"$47,700","$115,100",41%
21,96,Structural Engineering (SE),Bachelors,"$67,800","$115,100",66%
22,98,Industrial Distribution,Bachelors,"$63,600","$115,000",48%
23,99,Management Information Systems (MIS),Bachelors,"$65,000","$114,100",42%
24,100,Electronics Engineering,Bachelors,"$69,600","$113,900",66%
0,100,Finance & Economics,Bachelors,"$62,600","$113,900",42%
1,102,Medical Science,Bachelors,"$52,000","$113,800",-
2,102,Japanese Studies,Bachelors,"$51,500","$113,800",21%
3,102,Automotive Engineering,Bachelors,"$67,300","$113,800",48%
4,105,Information Management,Bachelors,"$64,300","$112,800",38%
5,106,Management Science,Bachelors,"$64,600","$112,700",43%
6,106,Mechanical,Bachelors,"$70,200","$112,700",54%
7,108,Construction Engineering,Bachelors,"$67,300","$112,500",59%
8,109,Finance & Investments,Bachelors,"$64,100","$112,400",44%
9,109,Mathematics & Statistics,Bachelors,"$63,100","$112,400",43%
10,111,Information Systems Management,Bachelors,"$59,200","$112,300",49%
11,112,Construction Project Management,Bachelors,"$61,100","$112,200",58%
12,112,Engineering Management,Bachelors,"$69,000","$112,200",57%
13,112,Packaging Science,Bachelors,"$70,000","$112,200",35%
14,115,Industrial Engineering & Management,Bachelors,"$68,300","$112,000",55%
15,116,Engineering Physics,Bachelors,"$70,500","$111,800",50%
16,117,Energy Management,Bachelors,"$72,300","$111,700",71%
17,118,Aeronautical Science,Bachelors,"$57,700","$111,600",57%
18,119,Government,Bachelors,"$55,100","$111,200",47%
19,120,Software Applications & Programming,Bachelors,"$59,300","$110,800",45%
20,121,Astrophysics,Bachelors,"$69,300","$110,700",64%
21,122,Bioenvironmental Science,Bachelors,"$47,700","$110,500",-
22,123,Japanese Language,Bachelors,"$53,300","$110,300",42%
23,124,Business Economics,Bachelors,"$58,400","$110,200",43%
24,124,Finance & Real Estate,Bachelors,"$63,000","$110,200",44%
0,126,Manufacturing Engineering,Bachelors,"$69,300","$110,000",47%
1,127,Atmospheric Science,Bachelors,"$48,700","$109,900",55%
2,128,Cybersecurity,Bachelors,"$65,600","$109,800",55%
3,129,Information Security & Assurance,Bachelors,"$61,400","$109,300",47%
4,130,Medicine,Bachelors,"$60,600","$109,200",92%
5,131,Civil Engineering (CE),Bachelors,"$65,000","$109,000",65%
6,132,Environmental Health & Safety Management,Bachelors,"$61,100","$108,800",61%
7,133,Mathematics,Bachelors,"$63,500","$108,700",45%
8,134,Applied Economics,Bachelors,"$61,400","$108,600",38%
9,135,Construction Science,Bachelors,"$67,400","$108,500",63%
10,135,Political Communication,Bachelors,"$48,800","$108,500",55%
11,137,Marketing & International Business,Bachelors,"$52,500","$108,400",34%
12,137,Software Development,Bachelors,"$65,500","$108,400",45%
13,139,Biochemistry & Molecular Biology,Bachelors,"$53,900","$108,100",71%
14,140,Computing,Bachelors,"$63,500","$108,000",53%
15,140,Construction Management,Bachelors,"$63,200","$108,000",58%
16,142,Accounting & Taxation,Bachelors,"$55,600","$107,800",41%
17,142,Building Construction (BC),Bachelors,"$67,200","$107,800",52%
18,142,International & Comparative Politics,Bachelors,"$45,700","$107,800",53%
19,145,Civil & Environmental Engineering,Bachelors,"$65,300","$107,500",67%
20,146,Business Information Systems,Bachelors,"$65,000","$107,400",43%
21,147,Financial Economics,Bachelors,"$63,300","$107,200",41%
22,147,Sales & Business Marketing,Bachelors,"$55,900","$107,200",51%
23,149,Plastics Engineering,Bachelors,"$68,400","$107,100",58%
24,150,Information Technology Management,Bachelors,"$63,400","$107,000",48%
0,151,Polymer Science & Engineering,Bachelors,"$74,500","$106,900",-
1,152,Informatics,Bachelors,"$70,300","$106,800",42%
2,153,Computer Management Information Systems (CMIS),Bachelors,"$55,700","$106,600",47%
3,153,Information Systems (IS),Bachelors,"$63,900","$106,600",44%
4,155,Agricultural Economics,Bachelors,"$55,600","$106,300",58%
5,156,Data Processing,Bachelors,"$65,600","$106,200",45%
6,157,European Studies,Bachelors,"$47,500","$106,100",46%
7,158,Biosystems Engineering,Bachelors,"$64,700","$106,000",74%
8,158,Nuclear Engineering Technology (NET),Bachelors,"$83,500","$106,000",62%
9,160,Economics & Political Science,Bachelors,"$57,100","$105,700",47%
10,160,Global & International Studies,Bachelors,"$50,000","$105,700",46%
11,162,Organic Chemistry,Bachelors,"$44,500","$105,600",-
12,163,Industrial Hygiene,Bachelors,"$58,600","$105,500",55%
13,163,Safety Science,Bachelors,"$62,400","$105,500",-
14,165,Commerce,Bachelors,"$66,800","$105,400",40%
15,165,Rhetoric,Bachelors,"$51,600","$105,400",44%
16,167,Business Computer Information Systems (BCIS),Bachelors,"$64,000","$105,300",40%
17,168,Finance,Bachelors,"$60,200","$105,200",42%
18,169,Plastics Engineering Technology,Bachelors,"$66,900","$105,100",28%
19,170,Molecular Biology,Bachelors,"$54,100","$105,000",67%
20,171,Environmental Engineering,Bachelors,"$62,600","$104,800",62%
21,171,International Management,Bachelors,"$54,100","$104,800",51%
22,173,Computer Information Systems,Bachelors,"$59,400","$104,700",42%
23,174,Corporate Finance,Bachelors,"$63,600","$104,300",43%
