Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1959-11-18,2802,Ben-Hur,15000000,73000000,73000000,58000000,1950
1960-01-01,4171,Exodus,4000000,21750000,21750000,17750000,1960
1960-01-01,4347,The Apartment,3000000,24600000,18600000,21600000,1960
1960-01-01,4357,Elmer Gantry,3000000,10400000,10400000,7400000,1960
1960-07-10,3151,Spartacus,12000000,60000000,30000000,48000000,1960
1960-10-24,3185,The Alamo,12000000,7900000,7900000,-4100000,1960
1961-01-01,4189,The Misfits,4000000,8200000,8200000,4200000,1960
1961-01-01,4359,Judgment at Nuremberg,3000000,10000000,10000000,7000000,1960
1961-01-01,4436,Pocketful of Miracles,2900000,5000000,5000000,2100000,1960
1961-09-25,4558,The Hustler,2000000,7600000,7600000,5600000,1960
1961-10-18,3834,West Side Story,6000000,43700000,43700000,37700000,1960
1962-01-01,4322,The Man Who Shot Liberty Valance,3200000,8000000,8000000,4800000,1960
1962-01-01,4555,Lolita,2000000,9250000,9250000,7250000,1960
1962-04-10,3320,The Longest Day,10000000,50100000,39100000,40100000,1960
1962-08-11,2546,Mutiny on The Bounty,19000000,13680000,13680000,-5320000,1960
1962-09-03,4122,State Fair,4500000,3500000,3500000,-1000000,1960
1962-12-16,2827,Lawrence of Arabia,15000000,69995385,37495385,54995385,1960
1962-12-25,4550,To Kill A Mockingbird,2000000,13129846,13129846,11129846,1960
1963-01-01,2698,55 Days at Peking,17000000,10000000,10000000,-7000000,1960
1963-01-01,4454,Donovan's Reef,2686000,6600000,6600000,3914000,1960
1963-05-29,4478,Hud,2500000,10000000,10000000,7500000,1960
1963-07-10,4842,Tom Jones,1000000,37600000,37600000,36600000,1960
1963-07-11,3501,It's a Mad Mad Mad Mad World,9400000,60000000,46300000,50600000,1960
1963-08-05,4849,Dr. No,1000000,59567035,16067035,58567035,1960
1963-08-08,4181,The Great Escape,4000000,11744471,11744471,7744471,1960
1963-12-06,1253,Cleopatra,42000000,71000000,57000000,29000000,1960
1964-01-01,2552,The Fall of the Roman Empire,19000000,4750000,4750000,-14250000,1960
1964-01-29,4664,Dr. Strangelove,1800000,9164370,9164370,7364370,1960
1964-08-04,4543,From Russia With Love,2000000,78900000,24800000,76900000,1960
1964-08-26,3832,Mary Poppins,6000000,102300000,102300000,96300000,1960
1964-10-22,2670,My Fair Lady,17000000,72070955,72000000,55070955,1960
1964-11-08,5040,A Hard Day's Night,560000,1597233,1537860,1037233,1960
1964-12-22,4334,Goldfinger,3000000,124900000,51100000,121900000,1960
1965-02-03,3594,The Sound of Music,8200000,286214286,163214286,278014286,1960
1965-02-15,2425,The Greatest Story Ever Told,20000000,15473333,15473333,-4526667,1960
1965-07-03,3907,The Train,5800000,6800000,6800000,1000000,1960
1965-07-04,4254,Major Dundee,3800000,14873,14873,-3785127,1960
1965-12-22,3241,Doctor Zhivago,11000000,111859493,111721000,100859493,1960
1965-12-29,3514,Thunderball,9000000,141200000,63600000,132200000,1960
1966-02-23,4276,Harper,3500000,12000000,12000000,8500000,1960
1966-07-16,4354,Torn Curtain,3000000,13000000,13000000,10000000,1960
1966-10-10,2831,Hawaii,15000000,34562222,34562222,19562222,1960
1966-12-12,4249,A Man for All Seasons,3900000,28350000,28350000,24450000,1960
1967-01-01,4273,In Cold Blood,3500000,13007551,13000000,9507551,1960
1967-01-18,5232,Per un pugno di dollari,200000,3500000,3500000,3300000,1960
1967-02-08,4546,In the Heat of the Night,2000000,24391108,24379978,22391108,1960
1967-04-28,3159,Casino Royale,12000000,41744718,22744718,29744718,1960
1967-06-13,3496,You Only Live Twice,9500000,111600000,43100000,102100000,1960
1967-10-05,5029,Per qualche dollaro in più,600000,4300000,4300000,3700000,1960
1967-12-29,4799,"Il buono, il brutto, il cattivo",1200000,6100000,6100000,4900000,1960
1968-01-01,4757,Shalako,1455000,2620000,2620000,1165000,1960
1968-01-10,5292,Night of the Living Dead,114000,30000000,12000000,29886000,1960
1968-02-04,3295,2001: A Space Odyssey,10500000,68700000,56700000,58200000,1960
1968-03-08,4667,Hang 'em High,1800000,6800000,6800000,5000000,1960
1968-06-25,5008,La mariée était en noir ,747000,44566,44566,-702434,1960
1968-08-02,3906,The Planet of the Apes,5800000,33395426,33395426,27595426,1960
1968-10-10,3559,Barbarella,9000000,0,0,-9000000,1960
1968-11-12,3323,Oliver!,10000000,37402877,37402877,27402877,1960
1968-12-06,4321,Rosemary's Baby,3200000,33395426,33395426,30195426,1960
1969-01-01,2465,Sweet Charity,20000000,8000000,8000000,-12000000,1960
1969-05-25,4263,Midnight Cowboy,3600000,44785053,44785053,41185053,1960
1969-05-28,4032,C'era una volta il West,5000000,5321508,5321508,321508,1960
1969-06-18,3883,The Wild Bunch,6000000,509424,509424,-5490576,1960
1969-07-25,5228,The Stewardesses,200000,25000000,13500000,24800000,1960
1969-10-15,2375,Paint Your Wagon,20000000,31678778,31678778,11678778,1960
1969-10-24,3831,Butch Cassidy and the Sundance Kid,6000000,102308900,102308900,96308900,1960
1969-12-16,2175,"Hello, Dolly",24000000,33208099,33208099,9208099,1960
1969-12-18,3613,On Her Majesty's Secret Service,8000000,82000000,22800000,74000000,1960
1969-12-19,4195,Topaz,4000000,6000000,6000000,2000000,1960
1970-01-01,2159,Waterloo,25000000,0,0,-25000000,1970
1970-01-01,2270,Darling Lili,22000000,5000000,5000000,-17000000,1970
1970-01-01,3136,Patton,12000000,62500000,62500000,50500000,1970
1970-01-01,3277,The Molly Maguires,11000000,2200000,2200000,-8800000,1970
1970-01-01,4265,M*A*S*H,3500000,81600000,81600000,78100000,1970
1970-01-01,4855,Beyond the Valley of the Dolls,1000000,9000000,9000000,8000000,1970
1970-03-26,5027,Woodstock,600000,34505110,34505110,33905110,1970
1970-05-13,4259,The Ballad of Cable Hogue,3716946,5000000,3500000,1283054,1970
1970-05-26,4349,Beneath the Planet of the Apes,3000000,17489009,17489009,14489009,1970
1970-06-24,2598,Catch-22,18000000,24911670,24911670,6911670,1970
1970-09-23,2076,"Tora, Tora, Tora",25000000,29548291,29548291,4548291,1970
1971-01-01,3512,Fiddler on the Roof,9000000,80500000,80500000,71500000,1970
1971-01-01,3809,The Andromeda Strain,6500000,12376563,12376563,5876563,1970
1971-01-01,4477,Escape from the Planet of the Apes,2500000,12300000,12300000,9800000,1970
1971-01-01,5270,Sweet Sweetback's Baad Asssss Song,150000,15200000,15200000,15050000,1970
1971-04-28,4626,Bananas,2000000,0,0,-2000000,1970
1971-06-30,4379,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000,1000000,1970
1971-09-10,4526,The French Connection,2200000,41158757,41158757,38958757,1970
1971-12-17,3705,Diamonds Are Forever,7200000,116000000,43800000,108800000,1970
