Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1992-07-31,934,Death Becomes Her,55000000,149022650,58422650,94022650,1990
1992-07-31,3734,Buffy the Vampire Slayer,7000000,14231669,14231669,7231669,1990
1992-09-21,4051,Light Sleeper,5000000,1050861,1050861,-3949139,1990
1992-09-25,1308,The Last of the Mohicans,40000000,75505856,75505856,35505856,1990
1992-09-30,3103,Glengarry Glen Ross,12500000,10725228,10725228,-1774772,1990
1992-10-04,3615,The Player,8000000,28876702,21706101,20876702,1990
1992-10-23,4802,Reservoir Dogs,1200000,2832029,2832029,1632029,1990
1992-11-11,1881,Aladdin,28000000,504050219,217350219,476050219,1990
1992-11-12,1643,A Few Good Men,33000000,236500000,141340178,203500000,1990
1992-11-12,3153,The Muppet Christmas Carol,12000000,27281507,27281507,15281507,1990
1992-11-13,1304,Bram Stoker's Dracula,40000000,215862692,82522790,175862692,1990
1992-11-18,1543,Malcolm X,35000000,48169910,48169910,13169910,1990
1992-11-20,2308,Home Alone 2: Lost in New York,20000000,358994850,173585516,338994850,1990
1992-11-25,2014,The Bodyguard,25000000,410900000,121945720,385900000,1990
1992-11-25,4163,The Crying Game,4000000,62546695,62546695,58546695,1990
1992-12-25,1581,Hoffa,35000000,28391473,23365858,-6608527,1990
1993-01-01,4610,Return of the Living Dead 3,2000000,21000,21000,-1979000,1990
1993-01-01,4673,Ed and his Dead Mother,1800000,673,673,-1799327,1990
1993-01-10,2964,Cool Runnings,14000000,155056263,68856263,141056263,1990
1993-01-10,4983,Ruby in Paradise,800000,1001437,1001437,201437,1990
1993-01-15,1674,Alive,32000000,36299670,36299670,4299670,1990
1993-01-15,2856,Nowhere to Run,15000000,52189039,22189039,37189039,1990
1993-02-04,3806,The Adventures of Huck Finn,6500000,24103594,24103594,17603594,1990
1993-02-19,3268,Army of Darkness,11000000,21502976,11502976,10502976,1990
1993-02-26,5383,El Mariachi,7000,2041928,2040920,2034928,1990
1993-03-09,3188,Fortress,12000000,46730578,6730578,34730578,1990
1993-03-19,2288,Teenage Mutant Ninja Turtles III,21000000,42273609,42273609,21273609,1990
1993-04-16,1621,Bound by Honor,35000000,4496583,4496583,-30503417,1990
1993-04-23,2891,The Dark Half,15000000,9579068,9579068,-5420932,1990
1993-05-02,3050,Loaded Weapon 1,13000000,27979399,27979399,14979399,1990
1993-05-11,2267,RoboCop 3,22000000,10696210,10696210,-11303790,1990
1993-05-11,2855,The Remains of the Day,15000000,63954968,22954968,48954968,1990
1993-05-14,3085,Excessive Force,13000000,1152117,1152117,-11847883,1990
1993-05-26,4267,Menace II Society,3500000,27731527,27731527,24231527,1990
1993-05-28,724,Cliffhanger,65000000,255000000,84049211,190000000,1990
1993-05-28,1264,Super Mario Bros.,42000000,20844907,20844907,-21155093,1990
1993-06-08,1232,The Fugitive,44000000,353715317,183875760,309715317,1990
1993-06-18,462,Last Action Hero,85000000,137298489,50016394,52298489,1990
1993-06-30,1246,The Firm,42000000,270340892,158340892,228340892,1990
1993-07-05,3614,Much Ado About Nothing,8000000,22549338,22549338,14549338,1990
1993-07-16,1904,Hocus Pocus,28000000,39360491,39360491,11360491,1990
1993-07-16,2325,Free Willy,20000000,153698625,77698625,133698625,1990
1993-07-23,2977,Poetic Justice,14000000,27450453,27450453,13450453,1990
1993-08-10,2124,Gettysburg,25000000,10731997,10731997,-14268003,1990
1993-08-13,4351,Jason Goes to Hell: The Final Friday,3000000,15935068,15935068,12935068,1990
1993-08-27,3874,Only the Strong,6000000,3273588,3273588,-2726412,1990
1993-09-06,2824,What's Love Got to Do With It,15000000,39100956,39100956,24100956,1990
1993-09-17,1636,The Age of Innocence,34000000,32014993,32014993,-1985007,1990
1993-09-24,3790,Dazed and Confused,6900000,7950889,7950889,1050889,1990
1993-09-24,4380,Warlock: The Armageddon,3000000,3902679,3902679,902679,1990
1993-10-09,3101,True Romance,12500000,12309980,12281000,-190020,1990
1993-11-06,758,Jurassic Park,63000000,1038812584,395708305,975812584,1990
1993-11-24,2007,Mrs. Doubtfire,25000000,441286003,219195051,416286003,1990
1993-11-24,2553,The Nutcracker,19000000,2119994,2119994,-16880006,1990
1993-12-02,2951,Groundhog Day,14600000,70906973,70906973,56306973,1990
1993-12-02,4401,Braindead,3000000,242623,242623,-2757377,1990
1993-12-11,3712,The Piano,7000000,40157856,40157856,33157856,1990
1993-12-15,2015,Schindler's List,25000000,321365567,96067179,296365567,1990
1993-12-17,1166,The Pelican Brief,45000000,187995859,100768056,142995859,1990
1993-12-22,1972,Philadelphia,26000000,201324422,77324422,175324422,1990
1993-12-25,2034,Tombstone,25000000,56505065,56505065,31505065,1990
1993-12-25,3270,What's Eating Gilbert Grape,11000000,9170214,9170214,-1829786,1990
1993-12-29,2250,Shadowlands,22000000,25842377,25842377,3842377,1990
1994-01-07,1102,Baby's Day Out,50000000,16581575,16581575,-33418425,1990
1994-01-07,1369,The Shadow,40000000,31835600,31835600,-8164400,1990
1994-02-18,1067,On Deadly Ground,50000000,38590458,38590458,-11409542,1990
1994-02-25,3363,Sugar Hill,10000000,18423914,18272447,8423914,1990
1994-03-06,1385,Renaissance Man,40000000,24172899,24172899,-15827101,1990
1994-03-08,762,Clear and Present Danger,62000000,207500000,122012656,145500000,1990
1994-03-18,1760,Naked Gun 33 1/3: The Final Insult,30000000,51041856,51041856,21041856,1990
1994-04-02,3130,Ace Ventura: Pet Detective,12000000,107217396,72217396,95217396,1990
1994-04-02,3419,Romeo Is Bleeding,10000000,3275585,3275585,-6724415,1990
1994-04-11,1209,Frankenstein,45000000,112006296,22006296,67006296,1990
1994-04-13,3071,Serial Mom,13000000,7881335,7881335,-5118665,1990
1994-04-22,3630,The Inkwell,8000000,8864699,8864699,864699,1990
1994-04-29,3538,PCU,9000000,4333569,4333569,-4666431,1990
1994-05-13,2991,Crooklyn,14000000,13024170,13024170,-975830,1990
1994-05-25,1060,Beverly Hills Cop III,50000000,119180938,42586861,69180938,1990
1994-05-27,1162,The Flintstones,45000000,358500000,130531208,313500000,1990
1994-06-05,2446,3 Ninjas Kick Back,20000000,11744960,11744960,-8255040,1990
1994-06-07,906,Forrest Gump,55000000,679850637,330151138,624850637,1990
1994-06-15,557,The Lion King,79300000,987480140,422780140,908180140,1990
1994-06-17,658,Wolf,70000000,131011757,65011757,61011757,1990
1994-06-24,761,Wyatt Earp,63000000,25052000,25052000,-37948000,1990
1994-07-10,1186,The Specialist,45000000,57362581,57362581,12362581,1990
1994-07-15,333,True Lies,100000000,365300000,146282411,265300000,1990
1994-07-20,1169,The Client,45000000,117615211,92115211,72615211,1990
1994-07-29,2566,The Mask,18000000,351620129,119920129,333620129,1990
1994-08-26,3462,Police Academy 7: Mission to Moscow,10000000,126247,126247,-9873753,1990
1994-08-31,4729,Killing Zoe,1500000,418953,418953,-1081047,1990
1994-09-03,4114,Four Weddings and a Funeral,4500000,242895809,52700832,238395809,1990
1994-09-12,924,Disclosure,55000000,212200000,83015089,157200000,1990
1994-09-16,1902,Timecop,28000000,102053581,44853581,74053581,1990
1994-09-23,2079,The Shawshank Redemption,25000000,28307092,28241469,3307092,1990
1994-09-23,4718,Exotica,1500000,5046118,5046118,3546118,1990
1994-09-30,1195,The River Wild,45000000,94215000,46815000,49215000,1990
1994-09-30,2626,Ed Wood,18000000,5828466,5828466,-12171534,1990
1994-10-06,1710,Speed,30000000,283200000,121248145,253200000,1990
1994-10-14,3596,Pulp Fiction,8000000,212928762,107928762,204928762,1990
1994-10-14,3618,Wes Craven's New Nightmare,8000000,18090181,18090181,10090181,1990
1994-10-14,5010,Hoop Dreams,700000,11768371,7768371,11068371,1990
1994-10-19,5353,Clerks,27000,3894240,3073428,3867240,1990
1994-10-21,2437,Bullets Over Broadway,20000000,13383747,13383747,-6616253,1990
1994-10-28,928,Stargate,55000000,196565669,71565669,141565669,1990
1994-11-03,1422,The Hudsucker Proxy,40000000,14938149,2816518,-25061851,1990
1994-11-09,2503,Rapa Nui,20000000,305070,305070,-19694930,1990
1994-11-11,1017,Interview with the Vampire: The Vampire Chronicles,50000000,223564608,105264608,173564608,1990
1994-11-11,2233,The Santa Clause,22000000,189800000,144833357,167800000,1990
1994-11-16,4043,Heavenly Creatures,5000000,5438120,3046086,438120,1990
1994-11-18,1448,Star Trek: Generations,38000000,120000000,75671262,82000000,1990
1994-11-18,2746,Léon,16000000,45284974,19284974,29284974,1990
1994-11-23,3343,A Low Down Dirty Shame,10000000,29317886,29317886,19317886,1990
1994-12-16,2725,Dumb & Dumber,16000000,246400000,127175374,230400000,1990
1994-12-21,1355,Ri¢hie Ri¢h,40000000,38087756,38087756,-1912244,1990
1994-12-21,2813,Little Women,15000000,50003303,50003303,35003303,1990
1994-12-23,1561,Street Fighter,35000000,99423000,33423000,64423000,1990
1994-12-23,1734,Legends of the Fall,30000000,160502573,66502573,130502573,1990
1994-12-25,1942,The Jungle Book,27000000,44342956,44342956,17342956,1990
1994-12-31,3297,There Goes My Baby,10500000,125169,125169,-10374831,1990
1995-01-03,2138,Tank Girl,25000000,4064333,4064333,-20935667,1990
1995-01-07,3017,Clueless,13700000,56598476,56598476,42898476,1990
1995-01-12,2927,Things to Do in Denver when You're Dead,15000000,529766,529766,-14470234,1990
1995-01-13,3164,Tales from the Crypt: Demon Knight,12000000,21089146,21089146,9089146,1990
1995-01-27,1993,Highlander III: The Sorcerer,26000000,13738574,13738574,-12261426,1990
1995-01-27,4481,Before Sunrise,2500000,5683371,5274005,3183371,1990
1995-02-06,2236,The Bridges of Madison County,22000000,175516617,71516617,153516617,1990
1995-03-02,4191,The Jerky Boys,4000000,7555256,7555256,3555256,1990
1995-03-11,1104,Fair Game,50000000,26097497,11497497,-23902503,1990
1995-03-11,2416,Home for the Holidays,20000000,22119269,17468887,2119269,1990
1995-03-31,3007,Jefferson in Paris,14000000,2461628,2461628,-11538372,1990
1995-04-08,1740,Babe,30000000,246100000,63658910,216100000,1990
1995-04-08,1801,Virtuosity,30000000,23998226,23998226,-6001774,1990
1995-04-21,1398,Kiss of Death,40000000,14942422,14942422,-25057578,1990
1995-04-26,4268,Friday,3500000,27936778,27467564,24436778,1990
1995-05-19,409,Die Hard: With a Vengeance,90000000,366101666,100012499,276101666,1990
1995-05-24,627,Braveheart,72000000,209045522,75545647,137045522,1990
1995-05-24,3855,Tales from the Hood,6000000,11784569,11784569,5784569,1990
1995-05-26,919,Casper,55000000,282300000,100328194,227300000,1990
1995-06-10,1077,Assassins,50000000,83306268,30306268,33306268,1990
1995-06-16,328,Batman Forever,100000000,336529144,184031112,236529144,1990
1995-06-16,5190,The Incredibly True Adventure of Two Girls in Love,250000,2477155,2210408,2227155,1990
1995-06-30,470,Judge Dredd,85000000,113487912,34687912,28487912,1990
1995-06-30,710,Apollo 13,65000000,334100000,172070496,269100000,1990
1995-07-04,1909,Rob Roy,28000000,31390587,31390587,3390587,1990
1995-07-04,2088,Don Juan DeMarco,25000000,22032635,22032635,-2967365,1990
1995-07-04,2199,Bad Boys,23000000,141247413,65647413,118247413,1990
1995-07-07,605,First Knight,75000000,127361412,37361412,52361412,1990
1995-07-07,1534,Species,35000000,113354449,60054449,78354449,1990
1995-07-14,828,Under Siege 2: Dark Territory,60000000,104324083,50024083,44324083,1990
1995-07-14,1200,The Indian in the Cupboard,45000000,35627222,35627222,-9372778,1990
1995-07-21,4713,Kids,1500000,20412216,7412216,18912216,1990
1995-07-28,93,Waterworld,175000000,264246220,88246220,89246220,1990
1995-07-28,2242,The Net,22000000,110521733,50621733,88521733,1990
1995-08-16,3842,The Usual Suspects,6000000,34449356,23341568,28449356,1990
1995-08-18,2327,Mortal Kombat,20000000,122133227,70433227,102133227,1990
1995-08-25,2193,The Princess and the Cobbler,24000000,669276,669276,-23330724,1990
1995-08-25,3722,Desperado,7000000,25532388,25532388,18532388,1990
1995-09-06,1026,Congo,50000000,152022333,81022333,102022333,1990
1995-09-08,5329,The Brothers McMullen,50000,10426506,10426506,10376506,1990
1995-09-22,1391,Showgirls,40000000,37750754,20350754,-2249246,1990
1995-09-22,1722,Se7en,30000000,328125643,100125643,298125643,1990
1995-09-27,2400,To Die For,20000000,27688744,21284514,7688744,1990
1995-09-29,3998,Halloween: The Curse of Michael Myers,5000000,15126948,15126948,10126948,1990
1995-10-02,1680,The Quick and the Dead,32000000,18552460,18552460,-13447540,1990
1995-10-03,1034,Outbreak,50000000,67823573,67823573,17823573,1990
1995-10-06,911,Pocahontas,55000000,347100000,141579773,292100000,1990
1995-10-11,1717,Ace Ventura: When Nature Calls,30000000,212400000,108360063,182400000,1990
1995-10-13,1107,The Scarlet Letter,50000000,10359006,10359006,-39640994,1990
1995-10-13,1109,Jade,50000000,9812870,9812870,-40187130,1990
1995-10-20,1703,Get Shorty,30250000,115021008,72021008,84771008,1990
1995-10-20,3827,Mallrats,6100000,2108367,2108367,-3991633,1990
1995-10-27,2371,Copycat,20000000,32051917,32051917,12051917,1990
1995-10-27,2982,Vampire in Brooklyn,14000000,19637147,19637147,5637147,1990
1995-10-27,4168,Leaving Las Vegas,4000000,49800000,31983777,45800000,1990
1995-11-12,2718,Sense and Sensibility,16500000,134993774,42993774,118493774,1990
1995-11-17,764,The American President,62000000,107822813,60022813,45822813,1990
1995-11-17,784,Goldeneye,60000000,356429941,106429941,296429941,1990
1995-11-22,694,Money Train,68000000,77224232,35324232,9224232,1990
1995-11-22,991,Casino,52000000,110400000,42438300,58400000,1990
1995-11-22,1705,Toy Story,30000000,364545516,191796233,334545516,1990
1995-12-05,922,Crimson Tide,55000000,159387195,91387195,104387195,1990
1995-12-05,3276,The Perez Family,11000000,2794056,2794056,-8205944,1990
1995-12-14,3275,Othello,11000000,2844379,2844379,-8155621,1990
1995-12-15,720,Jumanji,65000000,262758310,100458310,197758310,1990
1995-12-15,885,Sabrina,58000000,87100000,53458319,29100000,1990
1995-12-20,1219,Nixon,45000000,34668249,13668249,-10331751,1990
1995-12-22,393,Cutthroat Island,92000000,18517322,10017322,-73482678,1990
1995-12-25,4197,Four Rooms,4000000,4301000,4301000,301000,1990
1995-12-27,1867,Twelve Monkeys,29000000,168841459,57141459,139841459,1990
1995-12-29,1694,Mr. Holland's Opus,31000000,106282604,82582604,75282604,1990
1995-12-29,2633,Restoration,18000000,4100000,4100000,-13900000,1990
1995-12-29,3251,Dead Man Walking,11000000,83088295,39387284,72088295,1990
1995-12-29,3506,Richard III,9200000,4199334,2684904,-5000666,1990
1995-12-31,3899,Men of War,6000000,0,0,-6000000,1990
1996-01-03,823,Up Close & Personal,60000000,100645801,51045801,40645801,1990
1996-01-04,5379,Bang,10000,527,527,-9473,1990
1996-01-11,2953,Romeo+Juliet,14500000,147542381,46338728,133042381,1990
1996-01-11,3113,The Funeral,12500000,1412799,1212799,-11087201,1990
1996-01-19,2388,From Dusk Till Dawn,20000000,25732986,25728961,5732986,1990
1996-02-02,1236,The Juror,44000000,22730924,22730924,-21269076,1990
1996-02-02,1468,White Squall,38000000,10229300,10229300,-27770700,1990
1996-02-07,573,Independence Day,75000000,817400878,306169255,742400878,1990
1996-02-08,956,Chain Reaction,55000000,60209334,21226204,5209334,1990
1996-02-08,3904,Emma,5900000,37831658,22231658,31931658,1990
1996-02-16,1392,City Hall,40000000,20278055,20278055,-19721945,1990
1996-02-16,3321,Happy Gilmore,10000000,41004412,38623460,31004412,1990
1996-02-21,4055,Bottle Rocket,5000000,407488,407488,-4592512,1990
1996-02-23,1150,Mary Reilly,47000000,12900000,5707094,-34100000,1990
1996-02-23,2638,Unforgettable,18000000,2483790,2483790,-15516210,1990
1996-02-23,3679,Rumble in the Bronx,7500000,36238752,32281907,28738752,1990
1996-03-04,3607,A Thin Line Between Love & Hate,8000000,34873513,34873513,26873513,1990
1996-03-05,2853,The Craft,15000000,55669466,24769466,40669466,1990
1996-03-05,3634,The Pallbearer,8000000,5656388,5656388,-2343612,1990
1996-03-15,936,Executive Decision,55000000,122079192,56679192,67079192,1990
1996-03-22,3194,Girl 6,12000000,4880941,4880941,-7119059,1990
1996-03-22,3732,Flirting with Disaster,7000000,16149180,14853474,9149180,1990
1996-03-29,1440,Sgt. Bilko,39000000,37956589,30356589,-1043411,1990
1996-04-10,1210,The Glimmer Man,45000000,36404841,20404841,-8595159,1990
1996-04-10,3417,Crash,10000000,3357324,3357324,-6642676,1990
1996-04-10,4120,Bound,4500000,7011317,3802260,2511317,1990
1996-04-10,4473,That Thing You Do!,2500000,34557416,25857416,32057416,1990
1996-04-19,1625,Le hussard sur le toit,35000000,1320043,1320043,-33679957,1990
1996-04-19,2129,Mrs. Winterbourne,25000000,10039566,10039566,-14960434,1990
1996-05-04,3080,Faithful,13000000,2104439,2104439,-10895561,1990
1996-05-07,1663,Phenomenon,32000000,152036382,104636382,120036382,1990
1996-05-17,2003,Flipper,25530000,30593313,20080020,5063313,1990
1996-05-21,488,Mission: Impossible,80000000,457697994,180981886,377697994,1990
1996-05-24,2593,Spy Hard,18000000,26936265,26936265,8936265,1990
1996-05-31,899,Dragonheart,57000000,104364680,51364680,47364680,1990
1996-06-09,1686,Bogus,32000000,4357406,4357406,-27642594,1990
1996-06-11,3516,Set It Off,9000000,36049108,36049108,27049108,1990
1996-06-12,541,Daylight,80000000,158908290,32908290,78908290,1990
1996-06-12,2452,Everyone Says I Love You,20000000,34600000,9725847,14600000,1990
1996-06-14,1144,The Cable Guy,47000000,102825796,60240295,55825796,1990
1996-06-21,340,Eraser,100000000,234400000,101295562,134400000,1990
1996-06-21,341,The Hunchback of Notre Dame,100000000,325500000,100138851,225500000,1990
1996-06-21,4009,Lone Star,5000000,12961389,12961389,7961389,1990
1996-06-28,913,The Nutty Professor,55000000,273814019,128814019,218814019,1990
1996-06-28,1074,Striptease,50000000,113309743,33109743,63309743,1990
1996-07-06,583,The Rock,75000000,336069511,134069511,261069511,1990
1996-07-06,1214,The Phantom,45000000,17220599,17220599,-27779401,1990
1996-07-17,1211,Multiplicity,45000000,20133326,20133326,-24866674,1990
1996-07-17,4875,Walking and Talking,1000000,1615787,1287480,615787,1990
1996-07-19,1818,Fled,30000000,19892205,17192205,-10107795,1990
1996-07-19,4328,Trainspotting,3100000,71558971,16501785,68458971,1990
1996-07-24,1288,A Time to Kill,40000000,152266007,108766007,112266007,1990
1996-07-26,2083,Kingpin,25000000,32223424,25023424,7223424,1990
1996-07-26,2103,The Adventures of Pinocchio,25000000,36682170,15382170,11682170,1990
1996-07-26,4595,Stonewall,2000000,304602,304602,-1695398,1990
1996-08-03,3724,Fargo,7000000,51204567,24567751,44204567,1990
1996-08-11,641,Ransom,70000000,308700000,136492681,238700000,1990
1996-08-16,957,The Fan,55000000,18582965,18582965,-36417035,1990
1996-08-16,1188,Tin Cup,45000000,75854588,53854588,30854588,1990
1996-08-16,2554,Kansas City,19000000,1353824,1353824,-17646176,1990
1996-08-23,1377,The Island of Dr. Moreau,40000000,27682712,27682712,-12317288,1990
1996-08-23,4278,She's the One,3500000,13795053,9482579,10295053,1990
1996-08-23,4399,Freeway,3000000,295493,295493,-2704507,1990
1996-09-02,726,Broken Arrow,65000000,148345997,70645997,83345997,1990
1996-09-08,1088,Escape from L.A.,50000000,25426861,25426861,-24573139,1990
1996-09-08,1185,Jack,45000000,58617334,58617334,13617334,1990
1996-09-08,4386,Basquiat,3000000,2962051,2962051,-37949,1990
1996-09-13,2110,Maximum Risk,25000000,51702929,14102929,26702929,1990
1996-09-20,701,Last Man Standing,67000000,18115927,18115927,-48884073,1990
1996-09-20,1720,The First Wives Club,30000000,181489203,105489203,151489203,1990
1996-09-20,5160,When The Cat's Away,300000,2525984,1652472,2225984,1990
1996-09-27,1465,Extreme Measures,38000000,17378193,17378193,-20621807,1990
1996-09-28,4117,Secrets & Lies,4500000,13417292,13417292,8917292,1990
1996-10-05,434,Twister,88000000,495700000,241688385,407700000,1990
1996-10-05,4981,Welcome to the Dollhouse,800000,5034794,4198137,4234794,1990
1996-10-07,3054,Harriet the Spy,13000000,26570048,26570048,13570048,1990
1996-10-16,4509,Get on the Bus,2400000,5691854,5691854,3291854,1990
1996-10-18,1234,Sleepers,44000000,165600852,53300852,121600852,1990
1996-10-18,5231,Swingers,200000,6618578,4505922,6418578,1990
1996-10-25,2986,Thinner,14000000,15171475,15171475,1171475,1990
1996-11-10,742,The Long Kiss Goodnight,65000000,33447612,33447612,-31552388,1990
1996-11-10,946,The Ghost and the Darkness,55000000,38564422,38564422,-16435578,1990
1996-11-10,2122,Michael Collins,25000000,27572844,11092559,2572844,1990
1996-11-10,4770,Trees Lounge,1300000,749741,749741,-550259,1990
1996-11-15,515,Space Jam,80000000,250200000,90463534,170200000,1990
1996-11-15,1257,The Mirror Has Two Faces,42000000,41267469,41267469,-732531,1990
1996-11-15,1525,The English Patient,35000000,231711151,78716374,196711151,1990
1996-11-20,4096,Sling Blade,4833610,34175000,24475416,29341390,1990
1996-11-22,814,Jingle All the Way,60000000,129832389,60592389,69832389,1990
1996-11-22,1154,Star Trek: First Contact,46000000,150000000,92027888,104000000,1990
1996-11-22,3924,Shine,5500000,36665191,35811509,31165191,1990
1996-12-01,2385,Eye for an Eye,20000000,26792700,26792700,6792700,1990
1996-12-07,1157,Courage Under Fire,46000000,100833145,59003384,54833145,1990
1996-12-07,3766,Les Visiteurs,7000000,98754000,659000,91754000,1990
1996-12-13,537,Mars Attacks!,80000000,101371017,37771017,21371017,1990
1996-12-13,1006,Jerry Maguire,50000000,274000000,153952592,224000000,1990
1996-12-20,1501,Ghosts of Mississippi,36000000,13052741,13052741,-22947259,1990
1996-12-20,2215,Marvin's Room,23000000,12803305,12803305,-10196695,1990
1996-12-20,2282,My Fellow Americans,21500000,22331846,22331846,831846,1990
1996-12-20,2796,Scream,15000000,173046663,103046663,158046663,1990
1996-12-20,3135,Beavis and Butt-head Do America,12000000,63118386,63118386,51118386,1990
1996-12-25,942,Evita,55000000,151947179,50047179,96947179,1990
1996-12-25,2631,Hamlet,18000000,7129670,4501094,-10870330,1990
1996-12-31,2934,Silent Trigger,15000000,76382,76382,-14923618,1990
1997-01-07,395,Men in Black,90000000,587790539,250690539,497790539,1990
1997-01-08,4340,Air Bud,3000000,27788649,24646936,24788649,1990
1997-01-08,5357,In the Company of Men,25000,2883661,2883661,2858661,1990
1997-01-17,4057,Albino Alligator,5000000,353480,353480,-4646520,1990
1997-01-24,3647,Prefontaine,8000000,590817,590817,-7409183,1990
1997-01-31,1229,Shadow Conspiracy,45000000,2154540,2154540,-42845460,1990
1997-01-31,4201,Waiting for Guffman,4000000,2922988,2922988,-1077012,1990
1997-02-05,1495,Breakdown,36000000,50159144,50159144,14159144,1990
1997-02-05,1617,Warriors of Virtue,35000000,6448817,6448817,-28551183,1990
1997-02-05,2579,Austin Powers: International Man of Mystery,18000000,67683989,53883989,49683989,1990
1997-02-14,1050,Absolute Power,50000000,50068310,50068310,68310,1990
1997-02-21,1997,Blood and Wine,26000000,1083350,1083350,-24916650,1990
1997-02-28,1548,Donnie Brasco,35000000,65303052,41954997,30303052,1990
1997-02-28,1622,Smilla's Sense of Snow,35000000,2221994,2221994,-32778006,1990
1997-02-28,4376,Kama Sutra,3000000,4109095,4109095,1109095,1990
1997-03-10,1940,Kiss the Girls,27000000,60527873,60527873,33527873,1990
1997-03-14,3381,Love Jones,10000000,12554569,12554569,2554569,1990
1997-03-21,1159,Liar Liar,45000000,302710615,181410615,257710615,1990
1997-03-21,2363,Selena,20000000,35450113,35450113,15450113,1990
1997-03-26,428,The Devil's Own,90000000,140900000,42885593,50900000,1990
1997-03-26,1687,Cats Don't Dance,32000000,3588602,3588602,-28411398,1990
1997-03-28,5194,Love and Other Catastrophes,250000,743216,212285,493216,1990
1997-04-04,423,The Saint,90000000,169400000,61363304,79400000,1990
1997-04-04,5186,Chasing Amy,250000,15155095,12006514,14905095,1990
1997-04-18,1268,McHale's Navy,42000000,4408420,4408420,-37591580,1990
1997-04-18,4381,8 Heads in a Duffel Bag,3000000,4002884,3602884,1002884,1990
1997-04-25,427,Volcano,90000000,120100000,47546796,30100000,1990
1997-05-03,5166,The Watermelon Woman,300000,42735,42735,-257265,1990
1997-05-12,3303,Good Will Hunting,10000000,225933435,138433435,215933435,1990
1997-05-22,576,The Lost World: Jurassic Park,75000000,618638999,229086679,543638999,1990
1997-06-06,509,Con Air,80000000,224117573,101117573,144117573,1990
1997-06-08,3173,Def Jam's How To Be a Player,12000000,14010363,14010363,2010363,1990
1997-06-13,304,Speed 2: Cruise Control,110000000,150468000,48097081,40468000,1990
1997-06-13,648,Hercules,70000000,250700000,99112101,180700000,1990
1997-06-13,4450,Ulee's Gold,2700000,15600000,9054736,12900000,1990
1997-06-20,248,Batman & Robin,125000000,238317814,107325195,113317814,1990
1997-06-20,1152,My Best Friend's Wedding,46000000,298923419,126813153,252923419,1990
1997-06-20,4231,The Last Time I Committed Suicide,4000000,12836,12836,-3987164,1990
1997-06-20,4888,Dream With The Fishes,1000000,542909,542909,-457091,1990
1997-06-27,503,Face/Off,80000000,241200000,112276146,161200000,1990
1997-07-02,277,Dante's Peak,115000000,178200000,67163857,63200000,1990
1997-07-11,353,Starship Troopers,100000000,121100000,54768952,21100000,1990
1997-07-11,1106,Mad City,50000000,10561038,10561038,-39438962,1990
1997-07-11,4000,Eve's Bayou,5000000,14843425,14843425,9843425,1990
1997-07-16,916,George Of The Jungle,55000000,174463257,105263257,119463257,1990
1997-07-18,2049,Nothing To Lose,25000000,64594061,44480039,39594061,1990
1997-07-25,443,Air Force One,85000000,315268353,172956409,230268353,1990
1997-07-31,1330,Spawn,40000000,87949859,54979992,47949859,1990
1997-08-08,520,Conspiracy Theory,80000000,142783718,76118990,62783718,1990
1997-08-10,669,Seven Years in Tibet,70000000,131445884,37945884,61445884,1990
1997-08-13,4266,The Full Monty,3500000,257938649,45950122,254438649,1990
1997-08-15,859,Event Horizon,60000000,26673242,26673242,-33326758,1990
1997-08-15,2769,Steel,16000000,1686429,1686429,-14313571,1990
1997-08-15,2817,Cop Land,15000000,63706632,44906632,48706632,1990
1997-08-22,1053,G.I. Jane,50000000,48169156,48169156,-1830844,1990
1997-08-22,2053,Money Talks,25000000,41076865,41076865,16076865,1990
1997-08-22,5113,Sunday,450000,450349,410919,349,1990
1997-08-24,1999,The Grimm Brothers' Snow White,26000000,5000,5000,-25995000,1990
1997-09-05,377,The Fifth Element,95000000,263900000,63570862,168900000,1990
1997-09-05,474,Father's Day,85000000,35681080,28681080,-49318920,1990
1997-09-19,1529,L.A. Confidential,35000000,126204977,64604977,91204977,1990
1997-09-19,1531,In & Out,35000000,83226569,63826569,48226569,1990
1997-09-26,1062,The Peacemaker,50000000,62967368,41263140,12967368,1990
1997-09-26,2620,The Ice Storm,18000000,16011975,8038061,-1988025,1990
1997-09-26,3678,Soul Food,7500000,43492389,43492389,35992389,1990
1997-10-01,848,The Relic,60000000,33956608,33956608,-26043392,1990
1997-10-01,961,Turbulence,55000000,11532774,11532774,-43467226,1990
1997-10-10,2850,Boogie Nights,15000000,43111725,26410771,28111725,1990
1997-10-10,4038,The Sweet Hereafter,5000000,7951247,4306697,2951247,1990
1997-10-17,897,Devil's Advocate,57000000,153007424,61007424,96007424,1990
1997-10-17,2669,I Know What You Did Last Summer,17000000,125250091,72250091,108250091,1990
1997-10-24,1502,Gattaca,36000000,12532777,12532777,-23467223,1990
1997-10-31,1470,Switchback,38000000,6504442,6504442,-31495558,1990
1997-10-31,3214,Critical Care,12000000,220175,220175,-11779825,1990
1997-11-04,1181,Anaconda,45000000,136998907,65598907,91998907,1990
1997-11-04,2847,Grosse Pointe Blank,15000000,31070412,28084357,16070412,1990
1997-11-04,5372,Pink Flamingos,12000,413802,413802,401802,1990
